date,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-12-17,141957383.40234506,0.002964643419835219,3898863684.3648286,0.19775210230460502,3854426.476507239,0.00020794794925891628,134686225.5940201,7271157.808324959,0.0118870735
2025-12-18,142855224.9113183,0.006586249816881133,3939002298.5049167,0.28275115515706956,3891551.757972618,0.0002615241319301872,141647857.7338764,1207367.177441896,0.0015742779
2025-12-19,145365011.47168154,0.017803879255667232,3972734393.2220383,0.2361278331825932,3925142.372971682,0.00023513746185983863,144474194.34535345,890817.1263280697,0.0036315918
2025-12-22,146199193.96484455,0.005959779475405168,4004903854.415742,0.22130126684556803,3957303.291619627,0.00022124250067018483,145357622.8486828,841571.1161617669,0.0069184303
2025-12-23,144209753.92213818,-0.0133954776710415,4035934988.145263,0.21225242689766882,3988335.296045657,0.00021225838244697857,143397473.41738677,812280.5047514141,0.000667572
2025-12-24,145803165.4534045,0.01124002730894688,4063475396.875726,0.19097466004506644,4015845.3370806975,0.0001907640800073342,145079130.380531,724035.072873462,0.00534904
2025-12-25,148203640.61971223,0.016646627343322656,4090131575.769554,0.18282304647457498,4042501.1315525905,0.00018282040989303216,147507030.18518087,696610.4345313688,0.00473845
2025-12-26,149892976.88773474,0.011592062947919696,4118742531.809543,0.1930516411091693,4071150.7947046557,0.00019331281628620465,149147601.89220282,745374.9955319129,0.001024723
2025-12-29,150120919.18339038,0.0016671932676690679,4140772450.6637907,0.14697098764505362,4093109.060987124,0.00014649296276846005,149540807.59770057,580111.5856898231,0.00040388107
2025-12-30,150321433.0858304,0.0015039834286477817,4165986469.2540383,0.16795806159064172,4118374.5332923047,0.00016830081005776254,149663679.5425787,657753.5432516956,-4.130602e-05
2025-12-31,150549527.24064556,0.0017115033593234086,4193561052.706584,0.18343747053556317,4147556.016181845,0.0001941272265072039,146707156.30629113,3842370.9343544357,0.00093925
2026-01-05,150876242.50033036,0.0024414248296821587,4235711962.0012784,0.2799803497709986,4188396.1103992667,0.00027127348033541634,149696341.81473967,1179900.6855906784,0.013751268
2026-01-06,153658578.8882408,0.018610179663254876,4261443563.966941,0.17054773859182062,4213893.7023367705,0.00016899673212267299,152972195.85090572,686383.0373350931,0.014974833
2026-01-07,157919495.90184093,0.02787851280548292,4284330324.893103,0.14894554597441823,4236749.347944789,0.00014874304951526042,157318199.1464036,601296.755437315,0.00051546097
2026-01-08,161117299.1890204,0.020477793352844244,4320187450.361076,0.2270595233552492,4272788.86422855,0.00022821448408221257,160187260.31829262,930038.8707277719,-0.00068354607
2026-01-09,163494601.98987818,0.015082840626708859,4372748180.38515,0.3262264839879803,4325592.609244531,0.00032773479497091195,162131336.88035092,1363265.109527249,0.009171486
2026-01-12,166894311.6108414,0.020992207631299154,4405383581.903803,0.19961149249853122,4357995.619849454,0.0001981900944162591,166028231.33937842,866080.2714629848,0.010887384
2026-01-13,167977176.6885228,0.006688259646136796,4436958775.13364,0.1891927467453978,4391363.0316846315,0.0001999313907892968,163560026.61821252,4417150.070310265,-0.006368816
2026-01-14,169615577.949603,0.010042283883590675,4486924248.0801525,0.2974539394668024,4439836.264874642,0.0002885703531015609,168231380.6254831,1384197.324119906,-0.0030602813
2026-01-15,166912900.6633612,-0.015653712267307735,4534530989.944597,0.280674348665014,4487400.09784025,0.0002804213713185009,165662084.96988142,1250815.69347978,-0.0032699704
2026-01-16,162918216.64076868,-0.023730412786062652,4568461873.826306,0.20328496926755055,4521172.088372133,0.00020233301558874917,162018959.63747072,899257.0032979604,-0.0025988817
2026-01-19,161326596.68579543,-0.009543550179362311,4602745825.881324,0.21043657831470672,4557973.867701988,0.0002258911255516758,155428486.91215396,5898109.773641452,0.0029466152
2026-01-20,161859092.03045845,0.0035136203304121324,4639476825.329611,0.22768099124923225,4592318.932990373,0.00021289152560056087,160767195.6419059,1091896.3885525428,-8.523464e-05
2026-01-21,163410711.5805442,0.00982289811988567,4677808924.370033,0.23682388526687861,4630624.753697012,0.00023666153211479875,162409677.68026978,1001033.9002744188,0.00080001354
2026-01-22,166330684.2705289,0.018081229272603958,4712527031.569306,0.21245918865092728,4665318.605399481,0.00021231075592843864,165412855.21556136,917829.0549675617,0.0013688803
2026-01-23,168880445.43708736,0.015567109127834476,4749887941.418136,0.22461826579191807,4704845.352187742,0.00023763953693578367,163670469.25004378,5209976.18704358,0.0032960176
2026-01-26,167806049.24672034,-0.006123395667916364,4790104324.730712,0.23813522760726025,4745119.754569508,0.00023847877874510887,162520309.3236785,5285739.923041839,-0.00086045265
2026-01-27,167643367.24727547,-0.0007211685994248302,4833766998.798426,0.26019725906017716,4786785.300504109,0.000248295851798174,166393549.13638943,1249818.1108860471,0.0017662048
2026-01-28,164805326.19382843,-0.016727439751806503,4865896118.784777,0.19165160252931612,4820582.028532375,0.0002015989572579706,160254088.72713524,4551237.466693206,0.0027377605
2026-01-29,162663899.70895198,-0.012761416669333319,4905862941.625565,0.24250929119719525,4858859.076523991,0.00023225613440793053,161530488.9885973,1133410.7203546623,0.0016252995
2026-01-30,163616542.21877262,0.006045623074779585,4935109523.41208,0.1797976185179685,4889621.192217424,0.000189114583804235,159482825.80027902,4133716.418493586,-0.009628892
