symbol,sina_symbol,code,exchange,name,board
600548.SH,sh600548,600548,SH,深高速,沪市主板
600549.SH,sh600549,600549,SH,厦门钨业,沪市主板
600550.SH,sh600550,600550,SH,保变电气,沪市主板
600551.SH,sh600551,600551,SH,时代出版,沪市主板
600552.SH,sh600552,600552,SH,凯盛科技,沪市主板
600556.SH,sh600556,600556,SH,天下秀,沪市主板
600557.SH,sh600557,600557,SH,康缘药业,沪市主板
600558.SH,sh600558,600558,SH,大西洋,沪市主板
600559.SH,sh600559,600559,SH,XD老白干,沪市主板
600560.SH,sh600560,600560,SH,金自天正,沪市主板
600561.SH,sh600561,600561,SH,江西长运,沪市主板
600562.SH,sh600562,600562,SH,国睿科技,沪市主板
600563.SH,sh600563,600563,SH,法拉电子,沪市主板
600566.SH,sh600566,600566,SH,济川药业,沪市主板
600567.SH,sh600567,600567,SH,山鹰国际,沪市主板
600568.SH,sh600568,600568,SH,ST中珠,沪市主板
600569.SH,sh600569,600569,SH,安阳钢铁,沪市主板
600570.SH,sh600570,600570,SH,恒生电子,沪市主板
600571.SH,sh600571,600571,SH,信雅达,沪市主板
600572.SH,sh600572,600572,SH,康恩贝,沪市主板
600573.SH,sh600573,600573,SH,XD惠泉啤,沪市主板
600575.SH,sh600575,600575,SH,淮河能源,沪市主板
600576.SH,sh600576,600576,SH,祥源文旅,沪市主板
600577.SH,sh600577,600577,SH,精达股份,沪市主板
600578.SH,sh600578,600578,SH,京能电力,沪市主板
600579.SH,sh600579,600579,SH,中化装备,沪市主板
600580.SH,sh600580,600580,SH,卧龙电驱,沪市主板
600581.SH,sh600581,600581,SH,*ST八钢,沪市主板
600582.SH,sh600582,600582,SH,天地科技,沪市主板
600583.SH,sh600583,600583,SH,海油工程,沪市主板
600584.SH,sh600584,600584,SH,长电科技,沪市主板
600585.SH,sh600585,600585,SH,海螺水泥,沪市主板
600586.SH,sh600586,600586,SH,金晶科技,沪市主板
600587.SH,sh600587,600587,SH,新华医疗,沪市主板
600588.SH,sh600588,600588,SH,用友网络,沪市主板
600589.SH,sh600589,600589,SH,大位科技,沪市主板
600590.SH,sh600590,600590,SH,泰豪科技,沪市主板
600592.SH,sh600592,600592,SH,龙溪股份,沪市主板
600593.SH,sh600593,600593,SH,大连圣亚,沪市主板
600594.SH,sh600594,600594,SH,益佰制药,沪市主板
600595.SH,sh600595,600595,SH,中孚实业,沪市主板
600596.SH,sh600596,600596,SH,新安股份,沪市主板
600597.SH,sh600597,600597,SH,光明乳业,沪市主板
600598.SH,sh600598,600598,SH,北大荒,沪市主板
600600.SH,sh600600,600600,SH,青岛啤酒,沪市主板
600601.SH,sh600601,600601,SH,方正科技,沪市主板
600602.SH,sh600602,600602,SH,云赛智联,沪市主板
600603.SH,sh600603,600603,SH,广汇物流,沪市主板
600604.SH,sh600604,600604,SH,市北高新,沪市主板
600605.SH,sh600605,600605,SH,汇通能源,沪市主板
600606.SH,sh600606,600606,SH,绿地控股,沪市主板
600608.SH,sh600608,600608,SH,退市沪科,沪市主板
600609.SH,sh600609,600609,SH,金杯汽车,沪市主板
600610.SH,sh600610,600610,SH,中毅达,沪市主板
600611.SH,sh600611,600611,SH,大众交通,沪市主板
600612.SH,sh600612,600612,SH,老凤祥,沪市主板
600613.SH,sh600613,600613,SH,神奇制药,沪市主板
600615.SH,sh600615,600615,SH,鑫源智造,沪市主板
600616.SH,sh600616,600616,SH,金枫酒业,沪市主板
600617.SH,sh600617,600617,SH,国新能源,沪市主板
600618.SH,sh600618,600618,SH,氯碱化工,沪市主板
600619.SH,sh600619,600619,SH,海立股份,沪市主板
600620.SH,sh600620,600620,SH,天宸股份,沪市主板
600621.SH,sh600621,600621,SH,华鑫股份,沪市主板
600622.SH,sh600622,600622,SH,光大嘉宝,沪市主板
600623.SH,sh600623,600623,SH,华谊集团,沪市主板
600624.SH,sh600624,600624,SH,ST复华,沪市主板
600626.SH,sh600626,600626,SH,申达股份,沪市主板
600628.SH,sh600628,600628,SH,新世界,沪市主板
600629.SH,sh600629,600629,SH,华建集团,沪市主板
600630.SH,sh600630,600630,SH,龙头股份,沪市主板
600633.SH,sh600633,600633,SH,浙数文化,沪市主板
600635.SH,sh600635,600635,SH,大众公用,沪市主板
600636.SH,sh600636,600636,SH,退市国化,沪市主板
600637.SH,sh600637,600637,SH,东方明珠,沪市主板
600638.SH,sh600638,600638,SH,新黄浦,沪市主板
600639.SH,sh600639,600639,SH,浦东金桥,沪市主板
